Movie_N,cleaned_review,Stars
The Kissing Booth,not old peoples movie adventure quite innocent what coming age movie has both nostalgia strong gender roles one can beautiful strong same time one can girl school love same time one should not ashamed human body so good film,10
The Kissing Booth,i cant say i did not enjoy film fineand difficult not fall joey kings manliness yet movie sent some strange signals because he fighting butterface yes she thin has feminine hair shows second girl shows skin she gets attention boy she wants which all true natural good also obviously one oldest cliches life about girl falling hunk,10
Clueless,director amy heckerling knows thing two about high school flicks having directed highly successful fast times ridgemont high heckerling put her talents work thirteen years later next generation high schoolers writing directing hilarious satire life beverly hills hs heckerling takes different approach fast times which found its comedy absurdity reality depicting situations into which teenagers really get themselves here heckerlings comedy mostly comes mocking superficiality high school incrowd while not first time has been done few have ever done such blistering wit film became standard spate 1990s high school flicks set west coast borrowed many its elements,8
Clueless,story focuses cher horowitz alicia silverstone who most popular girl beverly hills hs cher seems superficial airhead but belies her conniving manipulative skills getting what she wants superficial yes airhead no plot derived part jane austens emma cher works behind scenes arrange love matches between various students she even orchestrates relationship between two teachers improve their moods so they dont grade so harshly like emma she master love everyone but herself,9
Clueless,heckerling does fantastic job presenting what seems surface cotton candy story lightweight characters but really runs much deeper revealing subtle truths about human nature her direction fledgling cast superb milking every ounce comedy out each scene,6
Clueless,silverstone sparkles role which probably not far reality which she very familiar she actually attended beverly hills hs costar breckin meyer although she didnt graduate due career commitments she received ged film catapulted her teen prominence two mtv movie awards american comedy award funniest actress leading role she plays cher both arrogance vulnerability her comic timing impeccable she also has knack physical comedy broad range contorted facial expressions amusing use body language rest teen cast also great especially brittany murphy tai breckin meyer travis dan hedaya also priceless chers work obsessed attorney father,7
Clueless,film easy like light funny spoof but still has nuance i rated 810 those who enjoy high school comedies required viewing,8
Clueless,isnt my house classic columns date all way back 1972,8
Clueless,when romantic highschool comedy clueless 1995 released immediately vaulted into cultstatus firmly stapled one most original teenflicks 1990s original perhaps term wrongly applied since based queen romance jane austens emma 1815 but what clueless did update classic story coating high school drama teenage girls shopping sprinkle heavy doses humour,10
Clueless,emma no longer emma she cher alicia silverstone spoiled rich girl walking around her beverly hills mansion bubble stereotypes teenclichés but great big heart so bighearted fact she takes lost goofy new girl her school find her love popularity knowing fullwell could destroy her own reputation clueless thus sees cher her best friend dionne stacey dash mission do good real good,8
Clueless,all detours mission entail captured brilliantly film taking form loveinterests parties shopping misunderstandings chers grumpy lawyerfather hilarious dan hedaya her nerdy stepbrother likable paul rudd her eccentric group friends school clueless superb ride teenage comedy camp only just over 10 years old still extremely dated today but no matter because 90s clichés like skateboarding marky mark catchphrase if just make so much more contemporary fun watch,6
Clueless,what elevates clueless 1995 above generic high school comedy its use stereotypes most films they unintentionally there create subconscious effect but clueless they made fun much higher degree they overblown glorious brutally satirizes rich kids their problems juxtaposes them classic heartfelt lovestory kind only jane austen can write,7
Clueless,10sep,7
Clueless,i love how movie represent new perspective about blonde girls show you can both popular kind bit boring but mood movie so good,8
Clueless,cinderella story,7
Clueless,alicia silverstone really hot here just so thin those legs,7
Clueless,own dvd,9
Clueless,movie way above so many others its kind its consumately likable funny sweet sharp script killer acting fun enjoyable,8
Clueless,part success film due fact appeals several different audiences multiple levels,7
Clueless,i first watched movie my mom who loved link has jane austens emma all main characters plot direct modern equivalents novel instance famous passage emma inwhich harriet burns all her mementos mr elton becomes scene where tai does so infront chers gasfire perspective alone movie so fun sharp watch even if your forte isnt usually american teen high school comedy,5
Clueless,but movie works really dumbed down scale too lets face not everyone big english literature movie has awesome soundtrack paul rudd unbelievably cute mr knightly rather josh my boyfriend leads me believe same true alicia silverstone who still sparkles 10 years later midnineties teen queen good intentions cher her performance here impossible not warm too unless you have some sort grudge against valley girls inwhich case you might not like so much seriously though film must see anyone who likes some real quality comedy im so fond film personally i would suspect basically everyone would enjoy,9
Clueless,cher high school virgin who nonetheless professes all matters love relationship fashion even wades into her fathers law practice she named after former singer who now does infomercials,9
"Three Billboards Outside Ebbing, Missouri",kinda rare see female male character fit so well screen frances mcdormand sam rockweel perfomances amazing woody harrelson also great fact everyone film great even characters short time screen thats great writing direction acting,8
"Three Billboards Outside Ebbing, Missouri",mcdormand show extremely well terrible weight pain her character suffering she also shows lot attitude things she does says way she walks looks someone like shes going war,9
"Three Billboards Outside Ebbing, Missouri",rockweel also give best performance his career so far he balanced being funny dumb racist violent weak strong he does all extremely well,9
"Three Billboards Outside Ebbing, Missouri",three billboards outside ebbing missouri very good film can become classic character development,9
"Three Billboards Outside Ebbing, Missouri",three billboards outside ebbing missouri marks milestone writerdirecter martin mcdonagh idea piece mothers struggle her town after posting billboards containing call action regards her murdered daughter outstanding screen writing near perfect editing powerhouse film easily one best all year driven force intensity its lead frances mcdormand,10
"Three Billboards Outside Ebbing, Missouri",what begins narrow focused drama gradually escalates film big themes ideas relevant social commentary much more subplots than anticipated three billboards outside ebbing missouri packed questions few answers about anger revenge violence kindness story shows people realistic light ive never quite seen before were presented characters their genuine emotions nothing feels sugarcoated fluffed but never lacks emotional impact either,9
"Three Billboards Outside Ebbing, Missouri",movie balances its seemingly contradictory tones beautifully crafting dark comedy feels heavy due strong subject matter while same time utilizing comedic moments feel completely natural characters motivations its obvious great care taken into script method which its constructed,8
"Three Billboards Outside Ebbing, Missouri",one most talked about elements film strong performances particularly frances mcdormand sam rockwell rightfully so some their best if not their best work these eyes have beheld they steal show every film theyre thats not take away woody harrelson lucas hedges well entire cast who give memorable performances paint shockingly believable characters we feel we know personally,9
"Three Billboards Outside Ebbing, Missouri",if there anything might turn audiences away film might its harsh subject matter despite none every being depicted well its language execution material personally has strong impact i wouldnt have changed anything about its highly recommended film lot ponder end definitely contender best movie year definitely dont miss one,7
"Three Billboards Outside Ebbing, Missouri",when you think about great cinema you often imagine some grandiose epic setting which all greatness builds upon likes gone wind godfather shawshank redemption such films span through decades cover major historic events,6
"Three Billboards Outside Ebbing, Missouri",but great story isnt necessary grand outside three billboards outside ebbing missouri like tiny rabbit hole size those three wooden screens but stick head youll see huge empty space laid peoples sorrow guilt regret emptiness sucks you leaves no way stay untouched,4
"Three Billboards Outside Ebbing, Missouri",but theres also hope hope justice hope retribution maybe even hope its still not too late change something change yourself nothing absolutely black white even darkest moments our lives theres some room sense humor maybe sad bitter one but still one worth warm smile,4
"Three Billboards Outside Ebbing, Missouri",world crooked place where crime often goes unpunished peter dinklages small role film reference another not so pretty world where happily ever after way doesnt quite exist stinging reminder tboem does not however try pull magic sword out stone go crush wicked protect righteous instead shows sometimes crumbling under weight evil things fall us we lose our own limits become those who sow evil ourselves anger does beget even more anger,3
"Three Billboards Outside Ebbing, Missouri",maybe reason makes america great indeed all messed up stuff happening without within its your culture value forgiveness something christianity teaches everyone but not everyone tends listen suffer without guilt yet offer helping hand your offender when hes down wounded break circle evil help each other wake yearning decency everyone has inside them albeit dormant sometimes forgiveness tough just like revenge doesnt bring back things people weve lost but least helps hold onto what could still here,3
"Three Billboards Outside Ebbing, Missouri",yeah its just movie most people arent deep philosophical movie characters can afford but if some unrealistic complexity sometimes even wisdom simple people could make some real regular people other side screen stop think over their own real regular ways maybe thats exactly what we need time time because life still here so multiple choices gives which road choose today we can still decide along way,9
"Three Billboards Outside Ebbing, Missouri",frances mcdormand without question one very best actresses hers any generation wow like most greatest she goes characters who dont ask sympathy truth her eyes always so naturally i followed her every inch way she surrounded fantastic group actors woody harrelson just extraordinary but perhaps biggest surprise sam rockwell making his one eighty not just believable but very moving martin mcdonaghs writing magic potion keeps everything together when i say everything i mean everything humor horror if were practically same thing dialogue brilliant frances mcdorman deserves last paragraph her face wonder superb performance dont miss,4
"Three Billboards Outside Ebbing, Missouri",three billboards outside ebbing missouri dark comedy has alist cast names like frances mcdormand woody harrelson sam rockwell john hawkes peter dinklage centers around mildred hayes woman whose daughter raped killed who believes local police have not done enough about reaction she erects three billboards outside her town send message sheriff about state investigation,9
"Three Billboards Outside Ebbing, Missouri",writerdirector martin mcdonagh seven psychopaths bruges has outdone himself one my opinion if isnt one top oscar contenders come awards season then hollywood has officially lost its mind,10
"Three Billboards Outside Ebbing, Missouri",basically everything about film works acting writing direction mcdormand gives performance her career here giving us humor through all pain clearly shown her face rockwell also gives his best performance here cop who isnt bright more than little racist,4
"Three Billboards Outside Ebbing, Missouri",three billboards outside ebbing missouri probably most unpredictable film year thats coming year includes films like baby driver logan there scenes where you think you know where plot going but then midway through completely flips script,9
"Three Billboards Outside Ebbing, Missouri",entire runtime film i invested has perfect runtime ends exactly when needs there not scene feels out place,6
"Three Billboards Outside Ebbing, Missouri",seems like one hardest things do film nowadays balance comedy drama however movie does effortlessly each scene has just right amount comedy drama sometimes despite fact youre laughing its easy forget jokes being made,3
"Three Billboards Outside Ebbing, Missouri",also message film gives off resonates very powerfully you after film finishes makes you see good side humanity despite our flaws no character film cliché onedimensional shell person everybody has reason being there which more than some films recently have offered,10
"Three Billboards Outside Ebbing, Missouri",three billboards outside ebbing missouri easily one best most enjoyable films 2017 will make you laugh cry think all one sitting there not any clear flaws film i can find but i am still searching,4
Doctor Sleep,finally got see my most anticipated film year im happy tell you its everything i wished more flanagan has done amazing job adapting book stephen king giving lovers kubrick film adaptation shining 1980 cinematic sequel now i read book while i enjoyed most part i found parts underwhelming i feel film adaptation flanagan takes elements novel manages make them more darker serious which turn really helped address some issues i had book he does make some serious changes though while i embraced them im not sure how others who read book will feel about them shining 1980 me im sure lot you masterpiece filmmaking i one prefer over novel film most certainly feels like sequel stanley kubricks version love letter film last 30 mins so absolutely amazing kudos flanagan pulling off ewan mcgregor does great job adult danny torrance rebecca ferguson captivates rose hat film sets great tone some stunning visuals score completely grabs you how much you enjoy film really depends what you want out theres practically no gore here no cheap jump scares what youll get though expert filmmaking someone who you can tell really loves source material hes pulling all everything struck balance me i tremendously pleased top horror film year,9
Doctor Sleep,rating 1010 clue dreams finally i watched good movie after almost 2 months i went see movie mind you i had not read any reviews much less have seen any trailers i shocked how good movie wasthis movie really amazing great cinematograpy great acting performance great cgi effects thanks mike flanagan stephen king making kind movie i strongly suggest you guys go watch biggest screen you can get i am sure you wont regret what you pay i really liked shine abra stone shine,10
Doctor Sleep,everbeautiful rebecca ferguson favorite fargo series zahn mcclarnon team up bring us some somewhat scary but more so eeriecreepy moments adaptation kings doctor sleep most part help ewan mcgregor who plays alcoholic grownup version shinings danny torrence they pull off,8
Doctor Sleep,while doctor sleep rather drawnout mostly slowishmoving film still has enough not lose ones attention storyline solid engaging although those unfamiliar book looking outright horror gore will find little satisfaction there couple scenes which can construed horrific but my opinion doctor sleep not really horror flick definition me more like intense drama about good vs evil couple welldone endoflife scenes thrown,8
Doctor Sleep,what i most enjoyed about day age where practically every story ever has already been made into movie ones plot just bit off beaten path came across slightly new original its approach while still pretty seamlessly tying wellknown classic shining,8
Doctor Sleep,if i had add one con would somewhat minor one times girl who plays abra kyliegh curran who also possesses shining who can communicate danny delivers her lines almost stonelike manner other times if she rapidly reading occurred one too many times i found took me out movie just bit,7
Doctor Sleep,while good scenes leading up ending bit predictable showdown remember good vs evil leaves little desired most part however i can live seeing rebecca ferguson saves just being king creators do their best come full circle short like entire film itself satisfyingenough where one can feel if watching time well spent,7
Doctor Sleep,if you going into film expecting straight up sequel kubrick film same horror tone youll disappointed however if you have open mind movie very well directed acted story very compelling more fantasy thriller than horror film i really like about film also does quite bit homage 1980 film but takes into new interesting direction deep underlying theme direct steven king,10
Doctor Sleep,easily one better film adaptations stephen king novel also one better films ive seen year yet again professional film critics have proven they mostly have no idea about cinema fantastic fantasy sf horror if youre fan genre youll love film ignore critics,4
Doctor Sleep,what surprise wasnt so bad actually now hear me out when i first saw previews i felt disappointed visual look film all too greentinted lacked kubrickesque framing i want film like being sequel shining after all remember i care too much about visual aesthetics these things sometimes especially when clearly supposed connect right iconic classic green tint stays throughout film much my displeasure worked great joker though but once i got what story paid attention i realized i getting invested different type film while still remembering pay huge amounts respect legacy original once you do get elements carry over kubricks film felt well earned interestingly enough they kind blend well together too eventually we delve into supernatural aspects what stephen king going after his book thats completely fine i dont mind chilling spookie once while recently ive felt done most modern day horror film tropes so its such shock me say i had good time doctor sleep,4
Doctor Sleep,progression where danny torrances character goes natural right step they go father like son kind thing i completely onboard ghost jack nicholsons presence looms strongly over story too danny fearing not follow his fathers footsteps new story elements were able grab my attention well again soon clicked what type plotmovie then worked its its own thing thats great no shining remake except some recreated imagery handled nice respect but most importantly story characters moved forwards loved what they did character rose hat what sinister yet oddly charming antagonist portrayed hypnotically rebecca ferguson hope she gets deserved credit ewan mcgregor will always obiwan me but he fantastic choice play danny he can convincingly make me believe hes got shine surprises me how positive i feel about movie its neat little companion piece classic again big props them go their own thing no force awakens if you know what i mean youll walk though memory lane here sure difference doesnt rely nostalgia tell their story actually stands its own ill say if youre big fan original then its worth taking looksie,4
Doctor Sleep,deserves good rating because besides its slightly average storyimo they still managed make me watch full 3 hours one sitting without feeling bored minute enjoying good camera work too,8
Doctor Sleep,mike flanagan gets he feels few people can translate well original tale within tale within tale you certainly cant if your heart doesnt beat soundtrack you dont feel those happy goosebumps several times during film then history lost you after seeing movie you may have awakening sorts see worlds periphery new lightwith details you may not have noticed before least thats what i hope every person who gets chance enjoy truly unique amazing cinematic experience,8
Doctor Sleep,regardless what stephen king thinks about kubrick adaptation shining still fondly remembered movie lovers everywhere new movie however praised king being worthy adaptation his novel manages fail where kubrick succeeded its more slightly serious take superhero movie than horror movie,6
Doctor Sleep,there absolutely nothing scary about movie not even few jumpscares tries pull successful worst all everything seemed enigmatic mysterious kubricks shining quickly explained away dealt,8
Doctor Sleep,end its very inyourface movie about learning deal your own fears traumas even issues inheritedcaused ones family rather than horror movie will leave you puzzling over meaning things human nature every single horror element fully explained every mystery revealed every simple analogy spelled out you nothing left imagination even very shining first movie otherworldly awareness very few people had turned into xmen mutantsuperherolike powers one oh reason some people have shining fight evil whole great power comes great responsibility thing again its laughable american culture completely obsessed superhero narrative late its seeping into what some deem psychological horror yet seems people too dazzled state things notice choose instead just take perceive fine,5
Doctor Sleep,almost four decades ago stanley kubricks shining not only terrorized audiences but also sparked plenty unique reflection analysis its remarkable use suspense both cinematic device tool fostering character development its protagonist jack torrance films impeccable attention detail has also ensured still studied wellrespected today huge fan kubrick film well ewan mcgregor i really excited doctor sleep but unfortunately i found huge letdown,8
Doctor Sleep,plot sequel centers around adult danny torrance mcgregor working clinic new england while also trying deal severe drinking problem he must work defeat evil cult called true knot led rose hat after 12yearold girl who also has powers shining gets its crosshairs i never expecting film top genius kubrick but mike flanagan seems like talented director who wanted really honor source material so i hoping least try meaningful,3
Doctor Sleep,first major problem film its tedium while pace shining slow slow great way slowburn build up maximum suspense dramatic tension other hand doctor sleep just feels tedious large stretches film pass virtually no keyp lot character development not explored other scenes film feels repetitive like its going nowhere after while until we get close climax film also lacks genuine suspense tension original since tediousness impedes any sense impending dread i also feel more sprawling narrative story opposed shining may have been somewhat detrimental its sense tension also lacks psychological fear shining even though true knot its followers creepy attempts build up real sense terror around them generally fall flat ewan mcgregor tried his best but his performance unfortunately rather bland very limited range only real positive movie its fun see overlook hotel again but climax still doesnt feel fully satisfying not recommended 410,4
Doctor Sleep,its probably kings fault but bland story never seems find its footing while slowly building up excuse go visit overlook hotel,5
Doctor Sleep,ewan mcgregor feels oddly miscast barely moved anything happens so making us not care about anything either while most cast there just stand talk theres awkward amount standing movie lonely highlight rebecca ferguson very animated throwing everything kitchen sink elevate dull proceedings but she only gets so far,8
Doctor Sleep,when action eventually returns hotel last act barely connects anything happened earlier apparently only there so they could recreate sets scenes shining but everything so poorly written shining throwbacks come across dumb pointless draining original story rather than taking further,4
Doctor Sleep,while i dont consider masterpiece i did enjoy classic kubrick rendition shining i understand why has fan base does seeing trailer doctor sleep discovering ewan mcgregor playing adult danny torrance i thought concept might interesting,6
Doctor Sleep,everyone acts fantastic film i thought ewan mcgregor built very nice character if i had imagined how danny might have turned out after first film ended i dont think i would have predicted much different there few intense moments villains primarily rose hat snakebite andi made me absolutely hate them which good thing i think things they do film would make anyone want them see terrible fate,3
Relic,babadook 2014 had underlining meaning single mothers struggle raising child ruthless society all told through horror genre relic reveals agony dementia dark twisted atmospheric visual audio assault senses nightmarish tone,8
Relic,kay visits her neglected mother edna who has gone missing kays daughter sam tags along they greeted old large home perfect haunting ednas home has life its own seen through effective dark visuals eerie sounds mother daughter encounter they also notice hints ednas forgetfulness postit note reminders around home,6
Relic,search begins edna who eventually appears after few days just like coming out stint prison dementia edna cannot recall her whereabouts so mother daughter quietly put down beginning ednas mental disintegration,8
Relic,sets motion conflict between mother daughter issues caring dreaded decision making nursing homes meanwhile ednas mental state deteriorates she eats away memories photos buries photo album forest just like her memories being buried black muck growing through her body,4
Relic,ednas granddaughter confronted horrors onset her grandmothers dementia confused frustrated she investigates dark hole disease finds herself trapped horrid maze within nightmare realm home actual fact sam has fallen into mind her grandmothers dementia experiencing state confusion horror dreaded disease,7
Relic,kay has been observing ednas onset dementia silent stupor eventually she forced act order not only save her daughter but her mother selfharming mother daughter manage fight through confronting maze dementia only see edna succumb become unrecognisable empty shell similar monster kay unable walk away accepts outcome ednas now fullblown dementia,7
Relic,sam does not recognise her grandmother anymore effect disease but what sam discovers dark murky stain growing her grandmothers body has now appeared her mother stating disease hereditary which real horror tale,2
Relic,relic journey through mindset dementia not only victim but loved ones coming terms all delivered highly intelligent subliminal work perfect filmmaking,4
Relic,ive been awaiting arrival film ever since watching trailer few weeks ago had depth darkness feeling realness i look good horror film relic explores subject dementia unique fashion will pull your heart strings especially those have dealt illness first hand,8
Relic,relic essentially drama which disguises itself horror film using few classic horror conventions clichés metaphors provide real horror here,6
Relic,three main actors do great job conveying story deliver wonderful performance will leave you emotionally gripped throughout where relic lacks pace times can rather dull long winded only finally picks up last 13rd film,10
Relic,climax film will have you edge your seat easily best part film those dont like thought provoking symbolic conclusions will probably want stay clear one still its one more memorable endings film ive seen while undoubtedly uncomfortable,2
Relic,one worth runtime just brilliant score ambiance composition you definitely need decent pair headphones nice sound system get most out one film very dark visually can hard make out specific details most scenes obviously done expand creepy unpredictable atmosphere but if anything makes film seem duller,6
Relic,its not 1010 movie any means but does serve mildly entertaining way pass hour half time especially if you dont have anything else do watch give go you may like,4
Relic,my retrospective one sometimes you have discard old version person you knew learn love them what theyve become,1
Relic,another one these films where most reviews here say lot more about reviewer than film,8
Relic,quite intelligent debut not masterpiece but obviously not worst movie ever incredibly boring,1
Relic,its just bit more original than average blumhouse blueprinted copycat,10
Relic,4 out 10 stars generous acting great thats let me save you some trouble here whole movie metaphor alzheimers i give one star because i can connect i had grandmother alzheimers accurate protrayl but my grandmother far less boring all questions they ask have very vague answers i dont think many people could guess answers them i could list 3 somewhat spooky things happen but why they happened i dont know either black mold alzheimers maybe both movie isnt scary isnt clever draaaagged hour half long movie 5 minutes blank staring 3 minutes dream sequences have little point movie makes me want have alzheimers so i can forget i watched,7
Relic,its so rare anyone uses horror genre tell you something you needed know about life im absolutely overwhelmed how elegantly film horrified me how totally drew me work being done cast,1
Relic,really beautiful touching absolutely terrifying movie hit me across nearly every note my gosh worth watch,6
Relic,im literally going through family member really made me think what she goes through everyday its scary more thriller than horror movie but i liked all people giving crappy rating not explaining explained just over your head they stepped into what she seeing every rotted piece another memory forgotten walls closing her mind way she saw her home now symbolism people symbolism i wouldnt say 1010 but did shine light ugliness waits some us,10
Relic,honestly couldnt see half what going greatly overrated which sad because i love good australian movie,4
Relic,here we go againanother attempt slow burn horror but only thing burnt out my patience i mean its one thing if after all build up made suspense we would actually get some genuine scares but here just not there nothing nada not single moment fear,3
Relic,end day movie can look good have fine actors possess decent story but would nothing without actually horror which turns out title genre,7
The F**k-It List,movie feels like wrote teenager so melodramatic self pitying disaster,2
The F**k-It List,main character just so annoying i dont even know opening scene told me everything about character his parents had left him post notes all over house because he clearly cant do anything him self but apparently he best teenager have ever graced earth so confusing,2
The F**k-It List,there just so much petulant behaviour its so bad he ends up loosing his places collage because he blew up school there no involvement police which once again confusing he then proceeds record most manic video about wanting do things he wish he had done,1
The F**k-It List,just so bratty spoilt he takes no responsibility about blowing up school because he being stupid child,3
The F**k-It List,then when he sad he sits sulks his back garden pool i mean can he anymore relatable,1
The F**k-It List,everything just teeny just oblivious real world,1
The F**k-It List,speech end jesus feels like wrote child who has been sent his room after being told off mom you just dont understand me its just trash,3
The F**k-It List,100 made teenagers but shouldnt because like telling them like drop out college just fart around doing nothing if you want not good message,2
The F**k-It List,someways its like bad version booksmart 2019 ways like he wants do things he has missed out doing but booksmart handles such good way you like characters because they well drawn thought out,2
The F**k-It List,so conclusion watch booksmart,1
The F**k-It List,not relatable unless your parents own millions i guess,1
The F**k-It List,what interesting time release movie when half country living paycheck paycheck 40 million unemployed i honestly dont see how anyone without trust fund could enjoy o you burned your school down told off multiple ivy league schools yet you still have enough money buy condo european beach city wow so relatable,1
The F**k-It List,characters do whatever they want have zero consequences theyre pretty shallow no backstory also reeks privilege,2
The F**k-It List,movie goes show if you rich you can get away anything,6
The F**k-It List,more importantly characters evolve bland plain nonsensical these characters take pride their lack self reflection imagine jean ralphio parks recreation,7
The F**k-It List,do yourself favour just watch something else,1
The F**k-It List,summary spoiled entitled brat everything everyone his side who has never encountered adversity any kind his life suddenly decides throw everything away because harvard yale etc not good enough him he gets acussed blowing his school up not even gets slap wrist he changes good college education couple instagram followers end,4
The F**k-It List,sad world we live today,4
The F**k-It List,entitled rick kids their problems no one movie likable 10ers have so hard even hot chick comes across pathetic unbelievable unlikable i just could not find smallest spark empathy these rich pampered teens course we had get pc lbgqt whatever spot where best friend admits hes gay even though had zero do plot storyline wow movie just sucked after watching excellent nobody knows im here yesterday just waste material tp,5
The F**k-It List,great advice rich kids la who needs actually work what you get just go viral one time turn down scholarships instead jaunt around europe your crush,6
The F**k-It List,scene prank gone wrong pretty epic,5
The F**k-It List,but,10
The F**k-It List,if you want see white privilege teen refuse ivy league schools but still get millions followers still get accepted harvard watch unrelatable film,1
The F**k-It List,they likened main character mark zuckerberg very frustrating film,7
The F**k-It List,film promoting rebellion stupidity young americans perfect example why trump running country into ground killing tens thousands americans go ahead take no personal responsibility act out die,9
The Outpost,i did two combat deployments afghanistan one iraq i can tell you without doubt movie most accurate representation fobcop life soldier lingo extent combat,10
